symbol,base,quote,exchange,priority
BTC/USDT,BTC,USDT,kraken,100
ETH/USDT,ETH,USDT,kraken,95
BNB/USDT,BNB,USDT,kraken,90
XRP/USDT,XRP,USDT,kraken,85
ADA/USDT,ADA,USDT,kraken,80
DOGE/USDT,DOGE,USDT,kraken,75
SOL/USDT,SOL,USDT,kraken,70
DOT/USDT,DOT,USDT,kraken,65
AVAX/USDT,AVAX,USDT,kraken,60
SHIB/USDT,SHIB,USDT,kraken,55
LTC/USDT,LTC,USDT,kraken,48
LINK/USDT,LINK,USDT,kraken,44
ATOM/USDT,ATOM,USDT,kraken,42
ALGO/USDT,ALGO,USDT,kraken,38
AI16Z/USDT,AI16Z,USDT,kraken,5
APE/USDT,APE,USDT,kraken,5
BCH/USDT,BCH,USDT,kraken,5
BERA/USDT,BERA,USDT,kraken,5
CRO/USDT,CRO,USDT,kraken,5
DAI/USDT,DAI,USDT,kraken,5
EOS/USDT,EOS,USDT,kraken,5
EURR/USDT,EURR,USDT,kraken,5
FARTCOIN/USDT,FARTCOIN,USDT,kraken,5
MANA/USDT,MANA,USDT,kraken,5
MELANIA/USDT,MELANIA,USDT,kraken,5
PENGU/USDT,PENGU,USDT,kraken,5
RLUSD/USDT,RLUSD,USDT,kraken,5
S/USDT,S,USDT,kraken,5
TON/USDT,TON,USDT,kraken,5
TRUMP/USDT,TRUMP,USDT,kraken,5
USDC/USDT,USDC,USDT,kraken,5
USDQ/USDT,USDQ,USDT,kraken,5
USDR/USDT,USDR,USDT,kraken,5
USTC/USDT,USTC,USDT,kraken,5
VIRTUAL/USDT,VIRTUAL,USDT,kraken,5
XMR/USDT,XMR,USDT,kraken,5
XTZ/USDT,XTZ,USDT,kraken,5
