symbol,exchange,category
RELIANCE,NSE,NIFTY 50
TCS,NSE,NIFTY 50
HDFCBANK,NSE,NIFTY 50
INFY,NSE,NIFTY 50
HINDUNILVR,NSE,NIFTY 50
ICICIBANK,NSE,NIFTY 50
KOTAKBANK,NSE,NIFTY 50
BHARTIARTL,NSE,NIFTY 50
ITC,NSE,NIFTY 50
SBIN,NSE,NIFTY 50
BAJFINANCE,NSE,NIFTY 50
ASIANPAINT,NSE,NIFTY 50
MARUTI,NSE,NIFTY 50
HCLTECH,NSE,NIFTY 50
AXISBANK,NSE,NIFTY 50
LT,NSE,NIFTY 50
WIPRO,NSE,NIFTY 50
ULTRACEMCO,NSE,NIFTY 50
NESTLEIND,NSE,NIFTY 50
TITAN,NSE,NIFTY 50
POWERGRID,NSE,NIFTY 50
SUNPHARMA,NSE,NIFTY 50
ONGC,NSE,NIFTY 50
NTPC,NSE,NIFTY 50
JSWSTEEL,NSE,NIFTY 50
TECHM,NSE,NIFTY 50
COALINDIA,NSE,NIFTY 50
INDUSINDBK,NSE,NIFTY 50
BAJAJFINSV,NSE,NIFTY 50
HINDALCO,NSE,NIFTY 50
DIVISLAB,NSE,NIFTY 50
ADANIPORTS,NSE,NIFTY 50
GRASIM,NSE,NIFTY 50
DRREDDY,NSE,NIFTY 50
CIPLA,NSE,NIFTY 50
EICHERMOT,NSE,NIFTY 50
BPCL,NSE,NIFTY 50
TATAMOTORS,NSE,NIFTY 50
HEROMOTOCO,NSE,NIFTY 50
BRITANNIA,NSE,NIFTY 50
APOLLOHOSP,NSE,NIFTY 50
TATACONSUM,NSE,NIFTY 50
SBILIFE,NSE,NIFTY 50
HDFCLIFE,NSE,NIFTY 50
UPL,NSE,NIFTY 50
SHREECEM,NSE,NIFTY 50
TATASTEEL,NSE,NIFTY 50
BAJAJ_AUTO,NSE,NIFTY 50
ADANIENT,NSE,NIFTY 50
LTIM,NSE,NIFTY 50
