symbol,signal,price,datetime_ist
BTC/USD,SELL (VWAP +2σ breakdown),109377.0,2025-07-07 09:40:00+05:30
ETH/USD,SELL (VWAP +2σ breakdown),2577.32,2025-07-07 09:40:00+05:30
USDT/USD,BUY (VWAP -2σ breakout),1.00005,2025-07-07 09:40:00+05:30
XRP/USD,HOLD,2.27075,2025-07-07 09:40:00+05:30
ADA/USD,BUY (VWAP -2σ breakout),0.587316,2025-07-07 09:40:00+05:30
DOGE/USD,SELL (VWAP +2σ breakdown),0.1751001,2025-07-07 09:40:00+05:30
SOL/USD,BUY (VWAP -2σ breakout),151.96,2025-07-07 09:40:00+05:30
LTC/USD,HOLD,87.7,2025-07-07 09:41:00+05:30
DOT/USD,SELL (VWAP +2σ breakdown),3.4247,2025-07-07 09:41:00+05:30
BCH/USD,SELL (VWAP +2σ breakdown),497.71,2025-07-07 09:41:00+05:30
LINK/USD,SELL (VWAP +2σ breakdown),13.57195,2025-07-07 09:41:00+05:30
TRX/USD,SELL (VWAP +2σ breakdown),0.28845,2025-07-07 09:41:00+05:30
XLM/USD,SELL (VWAP +2σ breakdown),0.251394,2025-07-07 09:41:00+05:30
ATOM/USD,SELL (VWAP +2σ breakdown),4.09,2025-07-07 09:41:00+05:30
XMR/USD,HOLD,322.03,2025-07-07 09:41:00+05:30
FIL/USD,SELL (VWAP +2σ breakdown),2.309,2025-07-07 09:41:00+05:30
EOS/USD,SELL (VWAP +2σ breakdown),0.4857,2025-07-07 09:41:00+05:30
XTZ/USD,SELL (VWAP +2σ breakdown),0.5324,2025-07-07 09:41:00+05:30
AAVE/USD,SELL (VWAP +2σ breakdown),287.63,2025-07-07 09:41:00+05:30
UNI/USD,SELL (VWAP +2σ breakdown),7.47,2025-07-07 09:41:00+05:30
ALGO/USD,SELL (VWAP +2σ breakdown),0.17792,2025-07-07 09:41:00+05:30
AVAX/USD,SELL (VWAP +2σ breakdown),18.44,2025-07-07 09:42:00+05:30
COMP/USD,BUY (VWAP -2σ breakout),41.42,2025-07-07 09:42:00+05:30
CRV/USD,SELL (VWAP +2σ breakdown),0.5121,2025-07-07 09:42:00+05:30
DASH/USD,SELL (VWAP +2σ breakdown),20.122,2025-07-07 09:42:00+05:30
EGLD/USD,SELL (VWAP +2σ breakdown),13.48,2025-07-07 09:42:00+05:30
ETC/USD,BUY (VWAP -2σ breakout),16.704,2025-07-07 09:42:00+05:30
KSM/USD,SELL (VWAP +2σ breakdown),12.82,2025-07-07 09:42:00+05:30
MKR/USD,BUY (VWAP -2σ breakout),1897.0,2025-07-07 09:42:00+05:30
NEAR/USD,SELL (VWAP +2σ breakdown),2.196,2025-07-07 09:42:00+05:30
QTUM/USD,SELL (VWAP +2σ breakdown),1.99144,2025-07-07 09:42:00+05:30
SNX/USD,SELL (VWAP +2σ breakdown),0.572,2025-07-07 09:42:00+05:30
SUSHI/USD,BUY (VWAP -2σ breakout),0.6108,2025-07-07 09:42:00+05:30
YFI/USD,SELL (VWAP +2σ breakdown),5208.0,2025-07-07 09:42:00+05:30
ZEC/USD,HOLD,39.55,2025-07-07 09:42:00+05:30
ZRX/USD,HOLD,0.2206,2025-07-07 09:43:00+05:30
BTC/EUR,SELL (VWAP +2σ breakdown),92918.9,2025-07-07 09:43:00+05:30
ETH/EUR,SELL (VWAP +2σ breakdown),2187.65,2025-07-07 09:43:00+05:30
USDT/EUR,SELL (VWAP +2σ breakdown),0.8498,2025-07-07 09:43:00+05:30
XRP/EUR,SELL (VWAP +2σ breakdown),1.92929,2025-07-07 09:43:00+05:30
ADA/EUR,HOLD,0.498777,2025-07-07 09:43:00+05:30
DOGE/EUR,SELL (VWAP +2σ breakdown),0.1486157,2025-07-07 09:43:00+05:30
SOL/EUR,HOLD,129.19,2025-07-07 09:43:00+05:30
LTC/EUR,SELL (VWAP +2σ breakdown),74.53,2025-07-07 09:43:00+05:30
DOT/EUR,SELL (VWAP +2σ breakdown),2.9098,2025-07-07 09:43:00+05:30
BCH/EUR,SELL (VWAP +2σ breakdown),423.69,2025-07-07 09:43:00+05:30
LINK/EUR,HOLD,11.52065,2025-07-07 09:43:00+05:30
TRX/EUR,SELL (VWAP +2σ breakdown),0.245062,2025-07-07 09:43:00+05:30
XLM/EUR,SELL (VWAP +2σ breakdown),0.213759,2025-07-07 09:43:00+05:30
